,q_date,q_year,prop_year,state,entity,utility,county_1,region_CAISO,region_ERCOT,region_ISO-NE,region_MISO,region_NYISO,region_PJM,region_SPP,region_Southeast (non-ISO),region_West (non-ISO),total_mw,type1_Battery,type1_Biofuel,type1_Biogas,type1_Biomass,type1_Coal,type1_Diesel,type1_Flywheel,type1_Gas,type1_Geothermal,type1_Gravity Rail,type1_Hybrid,type1_Hydro,type1_Landfill,type1_Methane,type1_Nuclear,type1_Offshore Wind,type1_Oil,type1_Pumped Storage,type1_Solar,type1_Steam,type1_Waste Heat,type1_Wind,type1_Wood,ia_status_Facility Study,ia_status_Feasibility Study,ia_status_IA Executed,ia_status_Operational,ia_status_System Impact Study,ia_status_Withdrawn,Join_Count,Join_Count_1,Join_Count_12,TARGET_FID_12,Join_Count_12_13,TARGET_FID_12_13,name,power,substation,type,Lat,Long,POP_SQMI,LEGAL_NAME,votes_dem,votes_rep,votes_total,votes_per_sqkm,pct_dem_lead,solar_ann_ghi_rn,avg_wind_speed_meters_per_second,tokens.1
57,7/6/2016,2016.0,2018.0,OK,AEC,AEC,kingfisher,0,0,0,0,0,0,0,1,0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,25104,1,25104,Ramsey,substation,distribution,multipolygon,36.04034899,-97.1232971,56.6,Payne County,307.0,946.0,1285.0,5.2,-49.7,4.6,3.9898958,ramsey
58,5/13/2008,2008.0,2011.0,OK,AEC,AEC,osage,0,0,0,0,0,0,0,1,0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,33933,1,33933,New Hope Substation,substation,industrial,multipolygon,36.06746961,-95.57816885,56.6,Wagoner County,272.0,1192.0,1479.0,11.9,-62.2,4.5,3.6786687,new
59,4/27/2019,2019.0,2023.0,IA,MISO,MidAmerican Energy Company,muscatine,0,0,0,1,0,0,0,0,0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,26453,1,26453,Sub 4,substation,traction,multipolygon,42.82221867,-95.76058872,56.7,Cherokee County,352.0,987.0,1359.0,3.6,-46.7,4.0,4.2952776,sub
60,4/8/2009,2009.0,2010.0,IA,MISO,MidAmerican Energy Company,greene,0,0,0,1,0,0,0,0,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,9616,1,9616,Grimes Substation,substation,generation,multipolygon,41.66008487,-93.81196356,56.7,Polk County,1437.0,1449.0,2964.0,172.9,-0.4,4.0,3.9292428,grimes
61,7/21/2020,2020.0,2023.0,IA,MISO,ITC Midwest,hancock,0,0,0,1,0,0,0,0,0,34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,40828,1,40828,Lime Creek Substation,substation,transmission,multipolygon,43.2480897,-93.20394441,56.7,Cerro Gordo County,124.0,200.0,329.0,3.6,-23.1,3.9,4.3215199,lime
62,3/12/2018,2018.0,2021.0,IA,MISO,MidAmerican Energy Company,washington,0,0,0,1,0,0,0,0,0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,26453,1,26453,Sub 4,substation,traction,multipolygon,42.82221867,-95.76058872,56.7,Cherokee County,352.0,987.0,1359.0,3.6,-46.7,4.0,4.2952776,sub
63,9/15/2022,2022.0,2024.0,IA,MISO,ITC Midwest,marshall,0,0,0,1,0,0,0,0,0,75.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,7708,1,7708,Marshalltown Substation,substation,generation,multipolygon,42.04509539,-92.86176179,56.7,Marshall County,706.0,535.0,1269.0,104.0,13.5,3.9,3.3149962,marshalltown
64,4/22/2008,2008.0,2010.0,IA,MISO,ITC Midwest,madison,0,0,0,1,0,0,0,0,0,182.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,42991,1,42991,Winterset Substation,substation,distribution,multipolygon,41.30457093,-93.97590735,56.7,Madison County,434.0,988.0,1450.0,5.4,-38.2,4.0,4.1338305,winterset
65,9/27/2022,2022.0,2025.0,IA,MISO,MidAmerican Energy Company,pottawattamie,0,0,0,1,0,0,0,0,0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,43050,1,43050,Overland Trail Substation,substation,transmission,multipolygon,41.19829851,-95.79774953,56.7,Pottawattamie County,560.0,1096.0,1673.0,23.4,-32.0,4.1,3.8076816,overland
66,10/28/2009,2009.0,2012.0,IA,MISO,ITC Midwest,greene,0,0,0,1,0,0,0,0,0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,17832,1,17832,Scranton Substation,substation,transmission,multipolygon,41.98680675,-94.4746867,56.7,Greene County,213.0,481.0,703.0,1.3,-38.1,4.0,4.4701667,scranton
