,q_date,q_year,prop_year,state,entity,utility,county_1,poi_name,region_CAISO,region_ERCOT,region_ISO-NE,region_MISO,region_NYISO,region_PJM,region_SPP,region_Southeast (non-ISO),region_West (non-ISO),total_mw,type1_Battery,type1_Biofuel,type1_Biogas,type1_Biomass,type1_Coal,type1_Diesel,type1_Flywheel,type1_Gas,type1_Geothermal,type1_Gravity Rail,type1_Hybrid,type1_Hydro,type1_Landfill,type1_Methane,type1_Nuclear,type1_Offshore Wind,type1_Oil,type1_Pumped Storage,type1_Solar,type1_Steam,type1_Waste Heat,type1_Wind,type1_Wood,ia_status_Facility Study,ia_status_Feasibility Study,ia_status_IA Executed,ia_status_Operational,ia_status_System Impact Study,ia_status_Withdrawn
0,1/7/2022,2022.0,2024.0, MO,AEC,AEC,new madrid,New Madrid - Essex 345kV,0,0,0,0,0,0,0,1,0,350.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3,11/19/2018,2018.0,2021.0, MO,AEC,AEC,pemiscot,New Madrid to Dell 500 kV,0,0,0,0,0,0,0,1,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6,10/12/2017,2017.0,2020.0, MO,AEC,AEC,new madrid,New Madrid Substation,0,0,0,0,0,0,0,1,0,202.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8,5/31/2018,2018.0,2020.0, OK,AEC,AEC,kingfisher,Luther 138 kV,0,0,0,0,0,0,0,1,0,105.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
9,12/6/2018,2018.0,2021.0, MO,AEC,AEC,new madrid,New Madrid to Essex 345 kV,0,0,0,0,0,0,0,1,0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
10,5/31/2016,2016.0,2018.0, OK,AEC,AEC,osage,Fairfax Substation,0,0,0,0,0,0,0,1,0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
14,5/23/2019,2019.0,2022.0, OK,AEC,AEC,payne,Valley 69 kV,0,0,0,0,0,0,0,1,0,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
15,9/3/2020,2020.0,2023.0, MO,AEC,AEC,howard,Harrisburg - Higbee 161 kV,0,0,0,0,0,0,0,1,0,170.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
16,12/1/2020,2020.0,2023.0, MO,AEC,AEC,jasper,Jasper-Morgan 345 kV,0,0,0,0,0,0,0,1,0,225.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
18,1/22/2019,2019.0,2021.0, MO,AEC,AEC,knox,Novelty 161 kV,0,0,0,0,0,0,0,1,0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
20,3/6/2019,2019.0,2019.0, MO,AEC,AEC,dunklin,St. Francis 161 kV,0,0,0,0,0,0,0,1,0,41.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,7/6/2016,2016.0,2018.0, OK,AEC,AEC,kingfisher,Ramsey Substation,0,0,0,0,0,0,0,1,0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
24,8/22/2019,2019.0,2021.0, MO,AEC,AEC,new madrid,New Madrid 345 kV,0,0,0,0,0,0,0,1,0,196.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
25,1/23/2020,2020.0,2022.0, MO,AEC,AEC,scott,Morley 161 kV,0,0,0,0,0,0,0,1,0,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
28,5/13/2008,2008.0,2011.0, OK,AEC,AEC,osage,New substation on the Shidler to Osage 138 kV line near the Fairfax Tap.,0,0,0,0,0,0,0,1,0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
30,5/11/2016,2016.0,2018.0, MO,AEC,AEC,sullivan,Humphreys Substation,0,0,0,0,0,0,0,1,0,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
31,11/19/2018,2018.0,2021.0, MO,AEC,AEC,pemiscot,New Madrid to Dell 500 kV,0,0,0,0,0,0,0,1,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
32,12/18/2014,2014.0,2016.0, MO,AEC,AEC,atchison,Cooper-Fairport 345 kV line,0,0,0,0,0,0,0,1,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
34,11/19/2018,2018.0,2021.0, MO,AEC,AEC,pemiscot,New Madrid to Dell 500 kV,0,0,0,0,0,0,0,1,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
38,12/6/2018,2018.0,2021.0, MO,AEC,AEC,new madrid,New Madrid to Essex 345 kV,0,0,0,0,0,0,0,1,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
39,3/4/2018,2018.0,2020.0, OK,AEC,AEC,mayes,Sportsman 345 kV,0,0,0,0,0,0,0,1,0,500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
41,3/3/2011,2011.0,2013.0, MO,AEC,AEC,sullivan,Hickory Creek to Locust Creek 161 kV Line,0,0,0,0,0,0,0,1,0,89.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
43,1/24/2011,2011.0,2012.0, MO,AEC,AEC,nodaway,Maryville 161kV Bus,0,0,0,0,0,0,0,1,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
44,1/16/2018,2018.0,2020.0, OK,AEC,AEC,osage,Remington 138 kV Substation,0,0,0,0,0,0,0,1,0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
47,1/18/2019,2019.0,2021.0, MO,AEC,AEC,callaway,McCredie 345 kV,0,0,0,0,0,0,0,1,0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
