,q_year,prop_year,region_CAISO,region_ERCOT,region_ISO-NE,region_MISO,region_NYISO,region_PJM,region_SPP,region_Southeast (non-ISO),region_West (non-ISO),total_mw,type1_Battery,type1_Biofuel,type1_Biogas,type1_Biomass,type1_Coal,type1_Diesel,type1_Flywheel,type1_Gas,type1_Geothermal,type1_Gravity Rail,type1_Hybrid,type1_Hydro,type1_Landfill,type1_Methane,type1_Nuclear,type1_Offshore Wind,type1_Oil,type1_Pumped Storage,type1_Solar,type1_Steam,type1_Waste Heat,type1_Wind,type1_Wood,ia_status_Facility Study,ia_status_Feasibility Study,ia_status_IA Executed,ia_status_Operational,ia_status_System Impact Study,ia_status_Withdrawn,Lat,Long,POP_SQMI,votes_dem,votes_rep,votes_total,votes_per_sqkm,pct_dem_lead,solar_ann_ghi_rn,avg_wind_speed_meters_per_second,q_date_unix,util_aec,util_aep,util_ameren illinois,util_ameren missouri,util_ameren transmission company of illinois,util_american transmission co. llc,util_aps,util_atsi,util_avista,util_bge,util_bhct,util_big rivers electric corporation,util_cedar falls utilities,util_clpt,util_comed,util_commonwealth edison company,util_consumers energy company,util_cooperative energy,util_dairyland power cooperative,util_dayton,util_dcrt,util_deok,util_dl,util_dominion,util_dominion sc,util_dominionsc,util_dpl,util_duke,util_duke energy,util_duke energy corporation,"util_duke energy indiana, llc",util_duke_fl,util_east texas electric cooperative,util_entergy,"util_entergy arkansas, llc","util_entergy louisiana, llc","util_entergy mississippi, llc","util_entergy texas, inc.","util_ewington energy systems, llc",util_firstenergy solutions corp.,util_glw,util_great river energy,util_gridunity,util_gtc,util_hoosier energy rec inc,"util_hoosier energy rec, inc.",util_indianapolis power & light company,util_itc midwest,util_itc transmission,util_itci,util_jcpl,util_madison gas and electric company,util_me,"util_michigan electric transmission company, llc",util_michigan public power agency,util_midamerican energy company,util_minnesota power,"util_minnesota power (allete, inc.)",util_missouri river energy services (mres),util_montana-dakota utilities co.,util_montana-dakota utilities company,util_northern indiana public service company,util_northern states power (xcel energy),util_northwestern,util_nve,util_otter tail power company,util_ovec,util_pacificorp,util_peco,util_penelec,util_pepco,util_pgae,util_pge,util_ppl,"util_prairie power, inc.",util_pse,util_pseg,util_reco,util_rochester public utilities,util_sce,util_sdge,util_smeco,util_smmpa,util_soco,util_south mississippi electric power association,util_southern illinois power cooperative,"util_southern indiana gas & electric company d/b/a vectren energy delivery of indiana, inc.",util_southern minnesota municipal power agency,util_srp,util_srp-anpp,util_srp-pv-pc,util_tsgt,util_ugi,util_unknown,util_upper peninsula power company,util_vea,util_wabash valley power,util_wisconsin electric power company,util_wisconsin public service corporation,"util_wolverine power supply cooperative, inc.",util_xcel energy
57,2016.0,2018.0,0,0,0,0,0,0,0,1,0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,36.04034899,-97.1232971,56.6,307.0,946.0,1285.0,5.2,-49.7,4.6,3.9898958,1467777600.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2008.0,2011.0,0,0,0,0,0,0,0,1,0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,36.06746961,-95.57816885,56.6,272.0,1192.0,1479.0,11.9,-62.2,4.5,3.6786687,1210651200.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2019.0,2023.0,0,0,0,1,0,0,0,0,0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,42.82221867,-95.76058872,56.7,352.0,987.0,1359.0,3.6,-46.7,4.0,4.2952776,1556337600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2009.0,2010.0,0,0,0,1,0,0,0,0,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,41.66008487,-93.81196356,56.7,1437.0,1449.0,2964.0,172.9,-0.4,4.0,3.9292428,1239163200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2020.0,2023.0,0,0,0,1,0,0,0,0,0,34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,43.2480897,-93.20394441,56.7,124.0,200.0,329.0,3.6,-23.1,3.9,4.3215199,1595304000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2018.0,2021.0,0,0,0,1,0,0,0,0,0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,42.82221867,-95.76058872,56.7,352.0,987.0,1359.0,3.6,-46.7,4.0,4.2952776,1520827200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,2022.0,2024.0,0,0,0,1,0,0,0,0,0,75.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,42.04509539,-92.86176179,56.7,706.0,535.0,1269.0,104.0,13.5,3.9,3.3149962,1663214400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2008.0,2010.0,0,0,0,1,0,0,0,0,0,182.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,41.30457093,-93.97590735,56.7,434.0,988.0,1450.0,5.4,-38.2,4.0,4.1338305,1208836800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2022.0,2025.0,0,0,0,1,0,0,0,0,0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,41.19829851,-95.79774953,56.7,560.0,1096.0,1673.0,23.4,-32.0,4.1,3.8076816,1664251200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2009.0,2012.0,0,0,0,1,0,0,0,0,0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,41.98680675,-94.4746867,56.7,213.0,481.0,703.0,1.3,-38.1,4.0,4.4701667,1256702400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
