,Unnamed: 0,q_date,q_year,prop_year,state,entity,utility,county_1,poi_name,region_CAISO,region_ERCOT,region_ISO-NE,region_MISO,region_NYISO,region_PJM,region_SPP,region_Southeast (non-ISO),region_West (non-ISO),total_mw,type1_Battery,type1_Biofuel,type1_Biogas,type1_Biomass,type1_Coal,type1_Diesel,type1_Flywheel,type1_Gas,type1_Geothermal,type1_Gravity Rail,type1_Hybrid,type1_Hydro,type1_Landfill,type1_Methane,type1_Nuclear,type1_Offshore Wind,type1_Oil,type1_Pumped Storage,type1_Solar,type1_Steam,type1_Waste Heat,type1_Wind,type1_Wood,ia_status_Facility Study,ia_status_Feasibility Study,ia_status_IA Executed,ia_status_Operational,ia_status_System Impact Study,ia_status_Withdrawn,tokens,OID_,Join_Count,TARGET_FID,Join_Count_1,TARGET_FID_1,OBJECTID,Join_Count_12,TARGET_FID_12,Join_Count_12_13,TARGET_FID_12_13,F_id,name,operator,operator_wikidata,power,substation,type,ORIG_FID,Lat,Long,STATE_ABBR,STATE_NAME,POP_SQMI,COUNTYNAME,LEGAL_NAME,CLASSCODE,LEGAL_DESC,CLASSCODE_DESC,GEOID,votes_dem,votes_rep,votes_total,votes_per_sqkm,pct_dem_lead,solar_ann_ghi_rn,SymbolID,avg_wind_speed_meters_per_second,tokens
0,0,1/7/2022,2022.0,2024.0,MO,AEC,AEC,new madrid,New Madrid - Essex 345kV,0,0,0,0,0,0,0,1,0,350.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,new,20712,1,9357,1,9357,9357,0,9357,1,9357,way/168241735,New Madrid Substation,Associated Electric Cooperative,Q6840876,substation,transmission,multipolygon,9357,36.51563499,-89.56768587,MO,Missouri,88.3,new madrid,New Madrid County,H1,County,An active county or equivalent feature,,,,,,,4.3,,3.9469337,new
1,3,11/19/2018,2018.0,2021.0,MO,AEC,AEC,pemiscot,New Madrid to Dell 500 kV,0,0,0,0,0,0,0,1,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,new,20712,1,9357,1,9357,9357,0,9357,1,9357,way/168241735,New Madrid Substation,Associated Electric Cooperative,Q6840876,substation,transmission,multipolygon,9357,36.51563499,-89.56768587,MO,Missouri,88.3,new madrid,New Madrid County,H1,County,An active county or equivalent feature,,,,,,,4.3,,3.9469337,new
2,6,10/12/2017,2017.0,2020.0,MO,AEC,AEC,new madrid,New Madrid Substation,0,0,0,0,0,0,0,1,0,202.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,new,20712,1,9357,1,9357,9357,0,9357,1,9357,way/168241735,New Madrid Substation,Associated Electric Cooperative,Q6840876,substation,transmission,multipolygon,9357,36.51563499,-89.56768587,MO,Missouri,88.3,new madrid,New Madrid County,H1,County,An active county or equivalent feature,,,,,,,4.3,,3.9469337,new
3,9,12/6/2018,2018.0,2021.0,MO,AEC,AEC,new madrid,New Madrid to Essex 345 kV,0,0,0,0,0,0,0,1,0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,new,20712,1,9357,1,9357,9357,0,9357,1,9357,way/168241735,New Madrid Substation,Associated Electric Cooperative,Q6840876,substation,transmission,multipolygon,9357,36.51563499,-89.56768587,MO,Missouri,88.3,new madrid,New Madrid County,H1,County,An active county or equivalent feature,,,,,,,4.3,,3.9469337,new
4,15,9/3/2020,2020.0,2023.0,MO,AEC,AEC,howard,Harrisburg - Higbee 161 kV,0,0,0,0,0,0,0,1,0,170.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,harrisburg,30177,1,26404,1,26404,26404,0,26404,1,26404,way/469705487,Harrisburg Substation,Entergy Arkansas,Q1242804,substation,distribution,multipolygon,26404,36.73267515,-91.85279971,MO,Missouri,88.3,howell,Howell County,H1,County,An active county or equivalent feature,,,,,,,4.3,,3.251261,harrisburg
5,20,3/6/2019,2019.0,2019.0,MO,AEC,AEC,dunklin,St. Francis 161 kV,0,0,0,0,0,0,0,1,0,41.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,st.,1306,1,4550,1,4550,4550,0,4550,1,4550,way/104477440,St. Joseph Substation,Evergy,Q7987107,substation,transmission,multipolygon,4550,39.84407252,-94.7946756,MO,Missouri,88.3,andrew,Andrew County,H1,County,An active county or equivalent feature,,,,,,,4.2,,3.5993302,st.
6,24,8/22/2019,2019.0,2021.0,MO,AEC,AEC,new madrid,New Madrid 345 kV,0,0,0,0,0,0,0,1,0,196.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,new,20712,1,9357,1,9357,9357,0,9357,1,9357,way/168241735,New Madrid Substation,Associated Electric Cooperative,Q6840876,substation,transmission,multipolygon,9357,36.51563499,-89.56768587,MO,Missouri,88.3,new madrid,New Madrid County,H1,County,An active county or equivalent feature,,,,,,,4.3,,3.9469337,new
7,31,11/19/2018,2018.0,2021.0,MO,AEC,AEC,pemiscot,New Madrid to Dell 500 kV,0,0,0,0,0,0,0,1,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,new,20712,1,9357,1,9357,9357,0,9357,1,9357,way/168241735,New Madrid Substation,Associated Electric Cooperative,Q6840876,substation,transmission,multipolygon,9357,36.51563499,-89.56768587,MO,Missouri,88.3,new madrid,New Madrid County,H1,County,An active county or equivalent feature,,,,,,,4.3,,3.9469337,new
8,34,11/19/2018,2018.0,2021.0,MO,AEC,AEC,pemiscot,New Madrid to Dell 500 kV,0,0,0,0,0,0,0,1,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,new,20712,1,9357,1,9357,9357,0,9357,1,9357,way/168241735,New Madrid Substation,Associated Electric Cooperative,Q6840876,substation,transmission,multipolygon,9357,36.51563499,-89.56768587,MO,Missouri,88.3,new madrid,New Madrid County,H1,County,An active county or equivalent feature,,,,,,,4.3,,3.9469337,new
9,38,12/6/2018,2018.0,2021.0,MO,AEC,AEC,new madrid,New Madrid to Essex 345 kV,0,0,0,0,0,0,0,1,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,new,20712,1,9357,1,9357,9357,0,9357,1,9357,way/168241735,New Madrid Substation,Associated Electric Cooperative,Q6840876,substation,transmission,multipolygon,9357,36.51563499,-89.56768587,MO,Missouri,88.3,new madrid,New Madrid County,H1,County,An active county or equivalent feature,,,,,,,4.3,,3.9469337,new
